model,batch_size,tiles_per_reticle,local_topology,mesh_link_bytes_per_cycle,mesh_wire_cycles,broadcast_cycles,reduction_cycles,collective_cycles,collective_latency_s,serialization_lower_bound_cycles,local_depth,wafer_mesh_depth,tiles_total,critical_link_utilization
DeepSeek-V4-Flash-0731,1,64,exchange,512,2,123,202,325,3.25e-07,48,6,14,4096,0.1476923076923077
DeepSeek-V4-Flash-0731,1,64,exchange,512,4,151,230,381,3.81e-07,48,6,14,4096,0.12598425196850394
DeepSeek-V4-Flash-0731,1,64,mesh,128,1,148,212,360,3.6e-07,192,14,14,4096,0.5333333333333333
DeepSeek-V4-Flash-0731,1,64,mesh,128,2,162,226,388,3.88e-07,192,14,14,4096,0.4948453608247423
DeepSeek-V4-Flash-0731,1,64,mesh,128,4,190,254,444,4.44e-07,192,14,14,4096,0.43243243243243246
DeepSeek-V4-Flash-0731,1,64,mesh,256,1,148,212,360,3.6e-07,96,14,14,4096,0.26666666666666666
DeepSeek-V4-Flash-0731,1,64,mesh,256,2,162,226,388,3.88e-07,96,14,14,4096,0.24742268041237114
DeepSeek-V4-Flash-0731,1,64,mesh,256,4,190,254,444,4.44e-07,96,14,14,4096,0.21621621621621623
DeepSeek-V4-Flash-0731,1,64,mesh,512,1,148,212,360,3.6e-07,48,14,14,4096,0.13333333333333333
DeepSeek-V4-Flash-0731,1,64,mesh,512,2,162,226,388,3.88e-07,48,14,14,4096,0.12371134020618557
DeepSeek-V4-Flash-0731,1,64,mesh,512,4,190,254,444,4.44e-07,48,14,14,4096,0.10810810810810811
DeepSeek-V4-Flash-0731,1,256,exchange,128,1,109,194,303,3.03e-07,192,8,14,16384,0.6336633663366337
DeepSeek-V4-Flash-0731,1,256,exchange,128,2,123,208,331,3.31e-07,192,8,14,16384,0.5800604229607251
DeepSeek-V4-Flash-0731,1,256,exchange,128,4,151,236,387,3.87e-07,192,8,14,16384,0.49612403100775193
DeepSeek-V4-Flash-0731,1,256,exchange,256,1,109,194,303,3.03e-07,96,8,14,16384,0.31683168316831684
DeepSeek-V4-Flash-0731,1,256,exchange,256,2,123,208,331,3.31e-07,96,8,14,16384,0.29003021148036257
DeepSeek-V4-Flash-0731,1,256,exchange,256,4,151,236,387,3.87e-07,96,8,14,16384,0.24806201550387597
DeepSeek-V4-Flash-0731,1,256,exchange,512,1,109,194,303,3.03e-07,48,8,14,16384,0.15841584158415842
DeepSeek-V4-Flash-0731,1,256,exchange,512,2,123,208,331,3.31e-07,48,8,14,16384,0.14501510574018128
