model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,200000,8,ROM HBM capacity (bytes/wafer),optimistic,768000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM shared-KV reread amplification,pessimistic,2.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,ROM shared-KV reread amplification,optimistic,1.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,collective injection bandwidth (B/s),pessimistic,128000000000.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,collective injection bandwidth (B/s),optimistic,1024000000000.0,1222.428652011765,1.243095018046183,1.6219258725504735,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,collective floor (s/layer),pessimistic,1e-06,1066.905619620837,1.0849427148925939,1.4154668181116612,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,collective floor (s/layer),optimistic,5e-08,1127.6411551873816,1.146705044789629,1.4960902886462146,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,pipeline efficiency,pessimistic,0.65,794.4541454800368,0.8078851789731009,1.0538610078018944,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,pipeline efficiency,optimistic,0.98,1197.5508949083237,1.2177966778407594,1.5888981348397795,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,defect-repair efficiency,pessimistic,0.75,933.483101169246,0.9492645567363734,1.2383721136807433,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,defect-repair efficiency,optimistic,0.98,1189.9658303028134,1.2100833802121813,1.578828358268114,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,load-balance efficiency,pessimistic,0.6,986.1434752489307,1.002815206550719,1.3082665866418708,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,load-balance efficiency,optimistic,0.96,1169.313782607384,1.1890821892139245,1.5514115096290866,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,weight encoding: released vs uniform MXFP4,endpoint_a,166878536440,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,weight encoding: released vs uniform MXFP4,endpoint_b,162815516380.0,1124.2726678855554,1.08267896890355,1.349340660398904,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,index-cache bytes: FP4 to BF16,endpoint_a,166878536440,1124.2726678855554,1.1410814207684532,1.4864835826106944,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,index-cache bytes: FP4 to BF16,endpoint_b,166878536440,1124.2726678855554,1.1675889953082228,1.5484065408516228,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,main-KV bytes: production to BF16,endpoint_a,166878536440,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,main-KV bytes: production to BF16,endpoint_b,166878536440,1124.2726678855554,1.1458627343196752,1.4976529590817436,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,GPU shared-KV reread amplification,ideal,1.0,1124.2726678855554,1.1432796098766294,1.4916186571965278,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,8,GPU shared-KV reread amplification,reread_stress,4.0,1124.2726678855554,1.1798919577241225,1.577146847769423,compute_C5,1.1432796098766294
DeepSeek-V4-Flash-0731,200000,32,ROM array bandwidth (B/s/wafer),pessimistic,30000000000000.0,171.491209240224,0.34133006714468034,0.5885406643848766,rom_full_array_read_C4,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM array bandwidth (B/s/wafer),optimistic,2000000000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),pessimistic,500000000000000.0,148.18062228429503,0.29493349529647805,0.5085351356336267,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),optimistic,3e+16,504.547094412171,1.0042327789065788,1.7318435495288051,rom_full_array_read_C4,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM capacity (bytes/wafer),pessimistic,128000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM capacity (bytes/wafer),optimistic,192000000000.0,287.5438251026701,0.5723171092218978,0.7757802146363365,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM HBM bandwidth (B/s/wafer),pessimistic,4000000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM HBM bandwidth (B/s/wafer),optimistic,16000000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM HBM capacity (bytes/wafer),pessimistic,192000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM HBM capacity (bytes/wafer),optimistic,768000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM shared-KV reread amplification,pessimistic,2.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,ROM shared-KV reread amplification,optimistic,1.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,collective injection bandwidth (B/s),pessimistic,128000000000.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,collective injection bandwidth (B/s),optimistic,1024000000000.0,307.2449040029915,0.6115294432748323,1.0545053389311245,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,collective floor (s/layer),pessimistic,1e-06,278.68817235416793,0.5546911296708291,0.9564811820502191,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,collective floor (s/layer),optimistic,5e-08,282.6649976784736,0.5626064628297811,0.9701319094045929,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,pipeline efficiency,pessimistic,0.65,199.56735988737196,0.39721184923725994,0.6849048186419475,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,pipeline efficiency,optimistic,0.98,300.8709314257615,0.5988429125925706,1.0326257265678593,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,defect-repair efficiency,pessimistic,0.75,234.3245840983668,0.4663914050072761,0.8042037850614874,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,defect-repair efficiency,optimistic,0.98,299.0431490027729,0.5952049587876578,1.026351616287118,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,load-balance efficiency,pessimistic,0.6,247.60057251067778,0.49281546508745433,0.8497727214260058,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,load-balance efficiency,optimistic,0.96,293.8266091256139,0.5848221414151394,1.0084452009680567,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,weight encoding: released vs uniform MXFP4,endpoint_a,166878536440,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
