study_slice,model,scenario,architecture,window_frames,cache_mode,clip_duration_s,denoise_calls,attention_density,noc_critical_cut_fraction,cache_remote_fraction,rom_row_reuse,tensor_operations,weight_read_bytes,mutable_hbm_bytes,rom_latency_s,same_compute_hbm_latency_s,rom_storage_speedup,generated_rate_fps,real_time_factor,main_compute_service_s,main_immutable_service_s,main_mutable_service_s,main_storage_service_s,main_noc_serialization_floor_s,main_largest_modeled_term
baseline,Oasis-500M-public-code,causal_kv_cache-W8,ROM-wafer-N4-class-HBM3e-central,8,causal_kv_cache,,,,0.5,0.0,whole_call,1487992297472,13679570656,736100352.0,0.00047671136161142754,0.0009503660610218681,1.9935880231789431,2097.705405257596,0.00953422723222855,0.00015462565945774436,6.222311069563665e-06,3.2774565417751954e-05,3.2774565417751954e-05,0.00026331428571428573,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W8,ROM-wafer-N4-class-HBM3e-aggressive,8,causal_kv_cache,,,,0.5,0.0,whole_call,1487992297472,13679570656,736100352.0,0.0002073468936955154,0.0005077606060635933,2.448845975041368,4822.835694218208,0.004146937873910308,6.912516483037382e-05,2.590984771867825e-06,1.9277184037650755e-05,1.9277184037650755e-05,0.00011264,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W16,ROM-wafer-N4-class-HBM3e-conservative,16,reference_recompute,,,,0.5,0.0,whole_call,19047777107968,12463683168,0.0,0.014996575349484273,0.014996575349484273,1.0,66.68189081145047,0.29993150698968546,0.011316376419011828,2.311522153369774e-05,0.0,2.311522153369774e-05,0.0035320454736842105,compute
baseline,Oasis-500M-public-code,reference_recompute-W16,ROM-wafer-N4-class-HBM3e-central,16,reference_recompute,,,,0.5,0.0,whole_call,19047777107968,12463683168,0.0,0.006137987946505212,0.006137987946505212,1.0,162.91983769198671,0.12275975893010424,0.0022491905560398403,5.656646426876059e-06,0.0,5.656646426876059e-06,0.003830025974025974,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W16,ROM-wafer-N4-class-HBM3e-aggressive,16,reference_recompute,,,,0.5,0.0,whole_call,19047777107968,12463683168,0.0,0.002669478930729377,0.002669478930729377,1.0,374.60494199396874,0.05338957861458754,0.0010054972018642353,2.3554407016980226e-06,0.0,2.3554407016980226e-06,0.0016384,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W16,ROM-wafer-N4-class-HBM3e-conservative,16,causal_kv_cache,,,,0.5,0.0,whole_call,1488822769664,13679570656,1566572544.0,0.00116944971495185,0.0018734223229683444,1.6019691133495886,855.1030345423387,0.023388994299037,0.000778468131847826,2.542674368706751e-05,0.00015543129009934148,0.00015543129009934148,0.00024282812631578948,compute
baseline,Oasis-500M-public-code,causal_kv_cache-W16,ROM-wafer-N4-class-HBM3e-central,16,causal_kv_cache,,,,0.5,0.0,whole_call,1488822769664,13679570656,1566572544.0,0.0004768104219313416,0.0009873424938008704,2.0707233910735345,2097.2695939603336,0.00953620843862683,0.00015472471977765847,6.222311069563665e-06,6.975099819675416e-05,6.975099819675416e-05,0.00026331428571428573,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W16,ROM-wafer-N4-class-HBM3e-aggressive,16,causal_kv_cache,,,,0.5,0.0,whole_call,1488822769664,13679570656,1566572544.0,0.00020739117846019307,0.0005295092239522249,2.553190679968384,4821.805861872477,0.004147823569203861,6.916944959505148e-05,2.590984771867825e-06,4.102580192628237e-05,4.102580192628237e-05,0.00011264,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W32,ROM-wafer-N4-class-HBM3e-conservative,32,reference_recompute,,,,0.5,0.0,whole_call,37928025325568,12463683168,0.0,0.029859496245627015,0.029859496245627015,1.0,33.490183215882354,0.5971899249125403,0.02264725184147036,2.311522153369774e-05,0.0,2.311522153369774e-05,0.007064090947368421,compute
baseline,Oasis-500M-public-code,reference_recompute-W32,ROM-wafer-N4-class-HBM3e-central,32,reference_recompute,,,,0.5,0.0,whole_call,37928025325568,12463683168,0.0,0.012220086231332163,0.012220086231332163,1.0,81.83248309950639,0.24440172462664325,0.004501262866840818,5.656646426876059e-06,0.0,5.656646426876059e-06,0.007660051948051948,noc_serialization_floor
baseline,Oasis-500M-public-code,reference_recompute-W32,ROM-wafer-N4-class-HBM3e-aggressive,32,reference_recompute,,,,0.5,0.0,whole_call,37928025325568,12463683168,0.0,0.005314664416656962,0.005314664416656962,1.0,188.1586346008694,0.10629328833313922,0.0020122826877918207,2.3554407016980226e-06,0.0,2.3554407016980226e-06,0.0032768,noc_serialization_floor
baseline,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-conservative,32,causal_kv_cache,,,,0.5,0.0,whole_call,1490483714048,13679570656,3227516928.0,0.001170446521438811,0.002038216943796562,1.741401171657988,854.3747891793604,0.02340893042877622,0.000779464938334787,2.542674368706751e-05,0.00032022591092755896,0.00032022591092755896,0.00024282812631578948,compute
baseline,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.0,whole_call,1490483714048,13679570656,3227516928.0,0.00047700854257116986,0.0010612953593588748,2.2248980146944204,2096.398514395158,0.009540170851423396,0.00015492284041748673,6.222311069563665e-06,0.00014370386375475857,0.00014370386375475857,0.00026331428571428573,noc_serialization_floor
